,gmaps_name,gmaps_address,gmaps_latitude,gmaps_longitude,composite_score,yelp_types,gmaps_types,type
316,El Bandido Mex Mex Grill,"1083 Euclid Ave NE, Atlanta, GA 30307",33.7633323,-84.351562,0.7149843133,"mexican, nightlife, texmex, steakhouses, bars, restaurants, burgers","bar, restaurant, food",food
317,Shoya Izakaya,"6035 Peachtree Rd A101, Doraville, GA 30340",33.9078783,-84.2866435,0.7905750063,"japanese, restaurants, sushi bars","restaurant, food",food
318,Cibo e Beve,"4969 Roswell Rd, Sandy Springs, GA 30342",33.8899157,-84.3809587,0.7411625504,"restaurants, pizza, italian, wine bars, bars, nightlife, seafood","restaurant, food",food
319,Condesa Coffee,"480 John Wesley Dobbs Ave NE UNIT 100, Atlanta, GA 30312",33.759737,-84.3719068,0.7598506488,"coffee  tea, wine bars, breakfast  brunch, nightlife, restaurants, food, sandwiches, bars","cafe, restaurant, food",food
320,Bantam Pub,"737 Ralph McGill Blvd NE, Atlanta, GA 30312",33.7662753,-84.3629123,0.7751810316,"restaurants, pubs, breakfast  brunch, nightlife, american new, bars",bar,bar
321,CEG Bakery,"2591 Piedmont Rd NE #1115, Atlanta, GA 30324",33.8256479,-84.3666499,0.7664801718,"cupcakes, restaurants, food, desserts, bakeries, cafes","bakery, restaurant, cafe, food",food
322,Ocean Wave By Harry and Sons,"820 North Highland Avenue Northeast, Atlanta, GA 30306",33.7769274,-84.3526191,0.766069783,"thai, restaurants, sushi bars, asian fusion","bar, restaurant, food",food
323,EATaliano Kitchen,"2480 Briarcliff Rd NE Suite 21, Atlanta, GA 30329",33.8282694,-84.3329646,0.753555294,"nightlife, restaurants, bars, pizza, food delivery services, italian, food","mealtakeaway, mealdelivery, bar, restaurant, food",food
324,Einstein Bros. Bagels,"2870 N Druid Hills Rd, Atlanta, GA 30329",33.8176073,-84.3114035,0.5531848723,"bagels, sandwiches, food, restaurants","cafe, restaurant, bakery, food",food
325,Sokongdong Tofu House,"5280 Buford Hwy NE, Atlanta, GA 30340",33.896918,-84.2824242,0.7829330909,"korean, asian fusion, restaurants, barbeque","restaurant, food",food
326,The Albert,"918 Austin Ave NE, Atlanta, GA 30307",33.7619456,-84.3575139,0.7827835967,"bars, american traditional, restaurants, breakfast  brunch, nightlife","bar, restaurant, food",food
327,Morelli’s Gourmet Ice Cream,"749 Moreland Ave SE # B102, Atlanta, GA 30316, United States",33.7340224,-84.3495931,0.8405582955,"bakeries, restaurants, food, ice cream  frozen yogurt, desserts",food,food
328,Han Il Kwan (한일관),"5458 Buford Hwy NE, Doraville, GA 30340",33.9013938,-84.2767579,0.6912843208,"restaurants, korean","restaurant, food",food
329,Drip,"928 Garrett St B, Atlanta, GA 30316",33.7406714,-84.3572397,0.7612112098,"coffee  tea, breakfast  brunch, food, restaurants","cafe, food",food
330,Hong Kong Bakery,"3601 Shallowford Rd, Doraville, GA 30340",33.8936975,-84.2853217,0.7407226148,"food, chinese, bakeries, restaurants","bakery, food",food
331,Under The Cork Tree,"5600 Roswell Rd NE #230, Sandy Springs, GA 30342",33.9081197,-84.3804067,0.7706572024,"american new, restaurants, moroccan, food, wine bars, bars, nightlife, beer, wine  spirits, tapassmall plates","bar, restaurant, food",food
332,La Petite Maison,"6510 Roswell Rd NE, Atlanta, GA 30328",33.9324944,-84.380364,0.7507142782,"french, food, desserts, restaurants","restaurant, food",food
333,The Beverly,"790 Glenwood Ave SE Ste 260, Atlanta, GA 30316",33.7405925,-84.360906,0.6925544138,"sports bars, restaurants, caribbean, american new, comfort food, beer bar, nightlife, bars","restaurant, bar, food",food
334,South City Kitchen Buckhead,"3350 Peachtree Rd NE Suite 175, Atlanta, GA 30326",33.8476883,-84.3681992,0.8480484378,"restaurants, breakfast  brunch, southern","restaurant, food",food
335,MISO KO,"675 Ponce De Leon Ave NE, Atlanta, GA 30308",33.7730435,-84.3656277,0.5377723739,"restaurants, sushi bars","restaurant, food",food
336,Chat Patti Indian Vegetarian Restaurant,"1707 Church St ste c-7, Decatur, GA 30033",33.7970298,-84.2808284,0.7646166887,"indian, restaurants, pakistani, vegetarian","restaurant, food",food
337,Atlanta Breakfast Club,"249 Ivan Allen Jr Blvd NW, Atlanta, GA 30313",33.7648611,-84.3953942,0.8860173928,"restaurants, breakfast  brunch, american traditional, southern, coffee  tea, american new, food","restaurant, food",food
338,Publik Draft House,"654 Peachtree St NE, Atlanta, GA 30308",33.7723774,-84.3850469,0.7143849532,"american new, restaurants, food, pubs, bars, beer, wine  spirits, nightlife","bar, restaurant, food",food
339,The Cheesecake Factory,"1609 Cumberland Mall, Atlanta, GA 30339, United States",33.8808367,-84.4681064,0.6428926183,"desserts, salad, food, american traditional, restaurants, seafood, american new","restaurant, bakery, mealtakeaway, food",food
340,Press and Grind,"992 North Highland Avenue Northeast, Atlanta, GA 30306",33.7817287,-84.3542497,0.738010338,"breakfast  brunch, food, bakeries, coffee  tea, restaurants, glutenfree","bakery, cafe, restaurant, food",food
341,Southern Belle,"1043 Ponce De Leon Ave NE, Atlanta, GA 30306",33.7733774,-84.3532581,0.7954450402,"american traditional, cocktail bars, bars, nightlife, southern, tapassmall plates, food, american new, desserts, restaurants","restaurant, food",food
342,AG,"The Ritz-Carlton, Atlanta, 181 Peachtree St NE, Atlanta, GA 30303",33.758588,-84.38713,0.70188243,"sushi bars, steakhouses, american new, southern, restaurants","restaurant, food",food
343,Dim Sum Heaven,"5203 Buford Hwy NE, Doraville, GA 30340",33.8942066,-84.28257,0.6865717093,"chinese, restaurants","mealtakeaway, restaurant, food",food
344,The Grove Restaurant & Tavern,"2761 Lavista Rd, Decatur, GA 30033",33.824304,-84.2933922,0.7246419401,"nightlife, sports bars, bars, american new, soup, southern, american traditional, restaurants","bar, restaurant, food",food
345,Tabla,"77 12th St NE #2, Atlanta, GA 30309",33.7843782,-84.3851668,0.7611760569,"indian, restaurants","bar, restaurant, food",food
346,White Oak Kitchen & Cocktails,"270 Peachtree St NW #100, Atlanta, GA 30303",33.7620443,-84.3877951,0.709624002,"southern, beer, wine  spirits, event planning  services, nightlife, comfort food, bars, venues  event spaces, restaurants, food, cocktail bars, american new, coffee  tea","restaurant, food",food
347,Manny's Grant Park,"580 Woodward Ave SE UNIT C, Atlanta, GA 30312",33.7456376,-84.3684567,0.7334459234,"burgers, hot dogs, bars, pubs, nightlife, restaurants",bar,bar
348,Victory Sandwich Bar,"913 Bernina Ave NE, Atlanta, GA 30307",33.7639582,-84.3577426,0.7717656678,"bars, sandwiches, nightlife, restaurants","bar, restaurant, food",food
349,J. Christopher's,"1438 Dresden Dr NE, Atlanta, GA 30319",33.8610738,-84.3299557,0.6732434225,"american traditional, breakfast  brunch, restaurants, food","restaurant, food",food
350,No Mas! Hacienda,"180 Walker St SW Ste A, Atlanta, GA 30313, United States",33.7498076,-84.4009838,0.7409344966,"arts  entertainment, furniture stores, shopping, jewelry, home  garden, breakfast  brunch, lighting fixtures  equipment, lighting stores, mexican, restaurants, nightlife, gift shops, music venues, home services, flowers  gifts, home decor","furniturestore, jewelrystore, homegoodsstore",restaurant
351,Buttermilk Kitchen,"4225 Roswell Rd NE, Atlanta, GA 30342",33.8698676,-84.3807561,0.8730224693,"american new, breakfast  brunch, southern, american traditional, restaurants","restaurant, food",food
352,Another Broken Egg Cafe,"4745 Ashford Dunwoody Rd, Dunwoody, GA 30338",33.9331106,-84.3363197,0.7293427045,"american traditional, breakfast  brunch, salad, sandwiches, cafes, restaurants","cafe, restaurant, food",food
353,Ruth's Chris Steak House,"Embassy Suites Hotel, 267 Marietta St NW, Atlanta, GA 30313",33.760717,-84.3942665,0.6484873195,"restaurants, steakhouses, thai, american traditional, event planning  services, seafood, venues  event spaces","restaurant, food",food
354,Tin Roof Cantina,"2591 Briarcliff Rd NE, Atlanta, GA 30329",33.8281195,-84.3275686,0.6359650001,"restaurants, mexican, nightlife, bars, american traditional","bar, restaurant, food",food
355,Poor Hendrix,"2371 Hosea L Williams Dr SE bldg 2, Atlanta, GA 30317",33.7509518,-84.309416,0.8426001689,"american new, restaurants, bars, tapassmall plates, nightlife","bar, restaurant, food",food
356,Petite Violette,"2948 Clairmont Rd, Atlanta, GA 30329",33.8435121,-84.3153039,0.717704246,"restaurants, french, salad","restaurant, food",food
357,McCray's Tavern Midtown,"1163 W Peachtree St NE, Atlanta, GA 30309",33.7858113,-84.3875758,0.7475540905,"pubs, sports bars, venues  event spaces, event planning  services, nightlife, bars, american traditional, restaurants","bar, restaurant, food",food
358,The White House Restaurant,"3172 Peachtree Rd NE, Atlanta, GA 30305",33.8409024,-84.3764975,0.7081768347,"restaurants, breakfast  brunch","restaurant, food",food
359,Mellow Mushroom Atlanta - Brookhaven,"4058 Peachtree Rd NE, Atlanta, GA 30319",33.8613243,-84.3400726,0.6981782988,"nightlife, bars, pizza, restaurants, sandwiches","restaurant, food",food
360,Pho King Express,"18 Park Pl NE S, Atlanta, GA 30303",33.7540358,-84.3887511,0.6854169572,"vietnamese, soup, asian fusion, restaurants","restaurant, food",food
361,Agave Restaurant,"242 Boulevard SE, Atlanta, GA 30312",33.7479545,-84.3679147,0.8021835472,"specialty food, nightlife, restaurants, mexican, new mexican cuisine, food, american new, bars, cocktail bars, texmex","restaurant, food",food
362,Ray's on the River,"6700 Powers Ferry Rd NW, Sandy Springs, GA 30339",33.900492,-84.440802,0.836284495,"restaurants, breakfast  brunch, venues  event spaces, seafood, steakhouses, american traditional, american new, event planning  services","bar, restaurant, food",food
363,Willy's Mexicana Grill,"3883 Peachtree Rd NE, Atlanta, GA 30319",33.8564648,-84.3439301,0.6217824536,"restaurants, mexican","restaurant, food",food
364,The Midway Pub,"552 Flat Shoals Ave SE, Atlanta, GA 30316",33.7394309,-84.3441913,0.7193917492,"nightlife, restaurants, american traditional, bars, pubs","bar, restaurant, food",food
365,Mali Restaurant,"961 Amsterdam Ave NE, Atlanta, GA 30306",33.7874343,-84.355568,0.7666714112,"restaurants, sushi bars, thai","bar, restaurant, food",food
366,Nikolai's Roof,"255 Courtland St NE, Atlanta, GA 30303",33.761569,-84.3835913,0.7509536368,"nightlife, russian, french, bars, wine bars, american new, restaurants","restaurant, food",food
367,Yummy Spicy,"5164 Buford Hwy NE, Doraville, GA 30340",33.8936627,-84.2841918,0.7593910205,"seafood, szechuan, soup, noodles, desserts, food, chinese, restaurants","restaurant, food",food
368,The Corner Pub,"627 E College Ave, Decatur, GA 30030",33.7731953,-84.2858245,0.6990679567,"restaurants, pubs, bars, american new, nightlife","bar, restaurant, food",food
369,Manuel's Tavern,"602 North Highland Avenue Northeast, Atlanta, GA 30307",33.7707382,-84.3527686,0.7953492728,"bars, sandwiches, desserts, salad, restaurants, dive bars, pubs, food, local flavor, american traditional, nightlife","bar, restaurant, food",food
370,Grindhouse Killer Burgers,"2565 Apple Valley Rd NE, Brookhaven, GA 30319",33.8611165,-84.3371194,0.6281497696,"burgers, restaurants","restaurant, food",food
371,Domino's Pizza,"1439 Oxford Rd NE, Atlanta, GA 30307",33.7875774,-84.3253603,0.3850354757,"sandwiches, pizza, chicken wings, restaurants","mealtakeaway, mealdelivery, restaurant, food",food
372,Tiny Lou's,"789 Ponce De Leon Ave NE, Atlanta, GA 30306",33.7735135,-84.3613546,0.7861710482,"restaurants, brasseries, french","restaurant, food",food
373,La Fonda Latina,"923 Ponce De Leon Ave NE, Atlanta, GA 30306",33.77351,-84.357108,0.7882960203,"latin american, mexican, spanish, restaurants, cuban","restaurant, food",food
374,Miss Gogi,"6035 Peachtree Rd Ste C115, Doraville, GA 30360",33.9091063,-84.2878658,0.7551789423,"barbeque, korean, restaurants","restaurant, food",food
375,Bishoku,"5920 Roswell Rd, Sandy Springs, GA 30328",33.9163889,-84.3802778,0.7773488555,"restaurants, sushi bars, japanese","restaurant, food",food
376,Jamrock Restaurant,"111 M.L.K. Jr Dr SW, Atlanta, GA 30303",33.7517776,-84.3912832,0.6343248429,"restaurants, food, caribbean","restaurant, food",food
377,Howell's Kitchen and Bar,"1962 Howell Mill Rd Ste 100, Atlanta, GA 30318",33.8082944,-84.4130028,0.760279873,"american new, restaurants, gastropubs, pubs, bars, cocktail bars, nightlife, pizza","mealtakeaway, mealdelivery, bar, restaurant, food",food
378,Rincon Latino,"5055 Buford Hwy NE, Doraville, GA 30340",33.8897251,-84.2853998,0.5862734969,"latin american, restaurants","restaurant, food",food
379,The Hive Buckhead,"1845 Peachtree Rd NW, Atlanta, GA 30309",33.8054925,-84.3937039,0.6723717977,"arts  entertainment, restaurants, steakhouses, southern, seafood, nightlife, breakfast  brunch, bars, music venues, wine bars, american new","restaurant, food",food
380,El Ponce,"939 Ponce De Leon Ave NE, Atlanta, GA 30306",33.7735305,-84.3566254,0.6322440403,"mexican, restaurants","mealdelivery, bar, restaurant, food",food
381,Mission + Market,"Three Alliance Center, 3550 Lenox Rd NE, Atlanta, GA 30326, United States",33.8520482,-84.3671307,0.753961413,"steakhouses, restaurants, seafood, american new, sandwiches","restaurant, food",food
382,Sidebar,"79 Poplar St NW, Atlanta, GA 30303",33.7568101,-84.3898188,0.6340241667,"nightlife, restaurants, american traditional, breakfast  brunch, bars",bar,bar
383,Wisteria,"471 North Highland Avenue Northeast, Atlanta, GA 30307",33.7667984,-84.352842,0.7700933074,"southern, restaurants, american new","restaurant, food",food
384,Lifting Noodles Ramen,"477 Flat Shoals Ave SE, Atlanta, GA 30316",33.7410003,-84.346491,0.79872451,"japanese, restaurants, ramen","restaurant, food",food
385,La Parrilla Mexican Restaurant,"1801 Howell Mill Rd NW #420, Atlanta, GA 30318",33.8031964,-84.4125174,0.7213381832,"sports bars, nightlife, bars, mexican, restaurants","bar, restaurant, food",food
386,Another Broken Egg Cafe,"2285 Peachtree St NE Suite 103, Atlanta, GA 30309",33.8162763,-84.3897918,0.7016759842,"restaurants, cafes, american traditional, breakfast  brunch","cafe, restaurant, food",food
387,Dunkin',"1766 Howell Mill Rd NW, Atlanta, GA 30318",33.8024365,-84.4153023,0.4781638932,"donuts, food, restaurants, breakfast  brunch, coffee  tea","cafe, bakery, mealtakeaway, restaurant, food",food
388,Bon Ton,"674 Myrtle St NE, Atlanta, GA 30308",33.7729895,-84.3804087,0.7759170554,"tiki bars, nightlife, seafood, cajuncreole, cocktail bars, bars, restaurants","bar, restaurant, food",food
389,Zaxby's Chicken Fingers & Buffalo Wings,"425 Ponce De Leon Ave NE, Atlanta, GA 30308",33.772536,-84.3734492,0.5370668884,"chicken wings, fast food, food, restaurants, salad","mealdelivery, mealtakeaway, restaurant, food",food
390,Eclipse di Luna,"764 Miami Cir NE, Atlanta, GA 30324, United States",33.8320552,-84.3616904,0.8111115033,"spanish, restaurants, dance clubs, nightlife, tapas bars","bar, restaurant, food",food
391,Farm Burger,"22 14th St NW Suite D, Atlanta, GA 30309",33.7864927,-84.3890719,0.7318297741,"beer, wine  spirits, restaurants, glutenfree, juice bars  smoothies, fast food, american traditional, burgers, food","restaurant, food",food
392,Honey Bubble,"798 Ponce De Leon Ave NE, Atlanta, GA 30306",33.7741533,-84.3613111,0.764859698,"bakeries, asian fusion, food, bubble tea, tea rooms, restaurants","cafe, restaurant, food",food
393,The EARL,"488 Flat Shoals Ave SE, Atlanta, GA 30316, United States",33.7409772,-84.3459049,0.790033162,"arts  entertainment, dive bars, bars, american new, nightlife, restaurants, american traditional, music venues, pubs","bar, nightclub",nightclub
394,H Mart Doraville,"6035 Peachtree Rd Bldg B, Doraville, GA 30360, United States",33.9076991,-84.2880328,0.7897111686,"seafood markets, restaurants, imported food, specialty food, korean, ethnic food, grocery, international grocery, food court, food, pan asian","supermarket, groceryorsupermarket, food",food
395,Waffle House,"515 N McDonough St, Decatur, GA 30030",33.7739729,-84.2963738,0.5341779822,"waffles, american traditional, american new, breakfast  brunch, restaurants, diners","mealtakeaway, restaurant, food",food
396,Pacific Rim Bistro,"303 Peachtree Center Ave NE, Atlanta, GA 30303",33.7625845,-84.3857881,0.6988280265,"sushi bars, food, restaurants, beer, wine  spirits, asian fusion","restaurant, food",food
397,Ideal Sportsbar,"1953 Lakewood Ave SE, Atlanta, GA 30315",33.7028031,-84.3845994,0.7171853613,"sports bars, bars, seafood, nightlife, restaurants",bar,bar
398,Twisted Soul Cookhouse & Pours,"1133 Huff Rd NW #D, Atlanta, GA 30318",33.7892169,-84.4251171,0.7835907261,"southern, desserts, soul food, restaurants, food","bar, restaurant, food",food
399,Be Banh Mi,"5302 Buford Hwy NE Ste A5, Doraville, GA 30340",33.8974977,-84.2818853,0.6794312801,"sandwiches, vietnamese, restaurants","restaurant, food",food
400,Momonoki,"95 8th St NW #100, Atlanta, GA 30309",33.7797867,-84.3901905,0.749373789,"tapassmall plates, sandwiches, tea rooms, restaurants, bars, nightlife, desserts, sushi bars, ramen, cafes, coffee roasteries, coffee  tea, food, japanese","cafe, restaurant, food",food
401,Taqueria del Sol,"359 W Ponce de Leon Ave, Decatur, GA 30030",33.7759463,-84.3021371,0.7343773925,"texmex, mexican, restaurants","restaurant, food",food
402,Elmyriachi,"1950 Hosea L Williams Dr NE, Atlanta, GA 30317",33.7525125,-84.3237555,0.7028540215,"bars, restaurants, food, tacos, mexican, nightlife, texmex, southern","bar, restaurant, food",food
403,Club Ellery's,"2008 Campbellton Rd SW, Atlanta, GA 30311",33.7064392,-84.455268,0.678041883,"pubs, american new, nightlife, restaurants, bars, dance clubs","nightclub, bar",nightclub
404,SportsTime2 Bar & Grille,"5025 Winters Chapel Rd # D, Dunwoody, GA 30360",33.9424929,-84.269673,0.566690091,"karaoke, restaurants, bars, nightlife, sports bars, burgers","bar, restaurant, food",food
405,QuikTrip,"855 Peachtree St NE, Atlanta, GA 30308, United States",33.7775441,-84.3841713,0.531618877,"breakfast  brunch, ice cream  frozen yogurt, pizza, convenience stores, food, automotive, gas stations, restaurants, fast food","gasstation, liquorstore, conveniencestore, mealtakeaway, restaurant, food",food
406,Land of a Thousand Hills Coffee,"1140 Spring St NW suite 140, Atlanta, GA 30309",33.7861395,-84.3894666,0.7363919813,"restaurants, food, coffee  tea, beer, wine  spirits, cafes","cafe, food",food
407,East Pole Coffee Co.,"255 Ottley Dr NE #105, Atlanta, GA 30324",33.8108291,-84.3788303,0.818842707,"coffee roasteries, coffee  tea, food, restaurants, cafes","cafe, bakery, restaurant, food",food
408,Poke Burri,"477 Flat Shoals Ave SE, Atlanta, GA 30316",33.7410003,-84.346491,0.8418175768,"asian fusion, food, mexican, sushi bars, restaurants, seafood, poke","restaurant, food",food
409,Cafe 100,"3340 Peachtree Rd NE #1009, Atlanta, GA 30326",33.847609,-84.3715269,0.7355120371,"restaurants, cafes, american traditional","restaurant, food",food
410,True Food Kitchen,"3393 Peachtree Rd NE Ste 3058B, Atlanta, GA 30326",33.847652,-84.363745,0.8200950101,"vegetarian, restaurants, american new, vegan, salad","restaurant, food",food
411,Johnny Rockets,"280 Luckie St NW, Atlanta, GA 30313",33.7623437,-84.395693,0.6256861639,"restaurants, burgers, sandwiches, fast food, american traditional","restaurant, food",food
412,Bistro Niko,"3344 Peachtree Rd NE, Atlanta, GA 30326",33.8466464,-84.3688437,0.8102602049,"bars, breakfast  brunch, french, restaurants, nightlife, modern european","cafe, restaurant, food",food
413,Trackside Tavern,"313 E College Ave, Decatur, GA 30030",33.7711639,-84.2920303,0.6812614138,"restaurants, dive bars, american traditional, nightlife, bars, pubs",bar,bar
414,Jimmy John's,"1574 N Decatur Rd, Atlanta, GA 30307",33.7883032,-84.326365,0.3805286317,"sandwiches, fast food, restaurants, delis","mealtakeaway, mealdelivery, restaurant, food",food
415,Boggs Social & Supply,"1310 White St SW, Atlanta, GA 30310",33.7373611,-84.4303736,0.8217224165,"food, bars, nightlife, restaurants, breakfast  brunch, food trucks",bar,bar
416,Eats,"600 Ponce De Leon Ave NE, Atlanta, GA 30308",33.7735997,-84.3672038,0.792371984,"southern, fast food, caribbean, restaurants, italian","restaurant, food",food
417,Treehouse Restaurant and Pub,"7 Kings Cir NE, Atlanta, GA 30305",33.8185835,-84.381054,0.6900299998,"pubs, bars, restaurants, breakfast  brunch, american traditional, nightlife","bar, restaurant, food",food
418,Sean's Harvest Market,"500 Amsterdam Ave NE, Atlanta, GA 30306",33.7884363,-84.3697432,0.8120846726,"breakfast  brunch, food, soup, sandwiches, juice bars  smoothies, restaurants","cafe, restaurant, food",food
419,Umi,"Two Buckhead Plaza, 3050 Peachtree Rd Suite #1, Atlanta, GA 30305",33.8394566,-84.3820911,0.785182053,"sushi bars, restaurants","bar, restaurant, food",food
420,China Hot Pot,"5090 Buford Hwy NE #104, Doraville, GA 30340",33.8913499,-84.2857961,0.7068065122,"restaurants, hot pot, mongolian, chinese","restaurant, food",food
421,La Tavola Trattoria,"992 Virginia Ave NE, Atlanta, GA 30306",33.7824288,-84.3548955,0.8418485714,"restaurants, bars, nightlife, breakfast  brunch, italian","bar, restaurant, food",food
422,Bad Daddys Burger Bar,"5070 Peachtree Blvd Ste B150, Chamblee, GA 30341",33.8884562,-84.3139163,0.7180784685,"nightlife, burgers, restaurants, bars","bar, restaurant, food",food
423,Sway,"265 Peachtree St, Atlanta, GA 30303",33.7616889,-84.38685,0.7112657666,"southern, restaurants","restaurant, food",food
424,Edgar's Proof & Provision,"659 Peachtree St NE, Atlanta, GA 30308",33.772562,-84.3846893,0.6659753393,"american new, restaurants, gastropubs","bar, lodging, restaurant, food",food
425,Scout,"321 W Hill St, Decatur, GA 30030",33.760005,-84.3026367,0.7607152816,"bars, restaurants, american traditional, nightlife, breakfast  brunch","restaurant, food",food
426,Southern Sweets Bakery,"186 Rio Cir, Decatur, GA 30030, United States",33.7801538,-84.269455,0.8282500659,"sandwiches, food, bakeries, restaurants, desserts, breakfast  brunch","restaurant, food",food
427,Kochi Maru,"5805 Buford Hwy NE #103, Doraville, GA 30340",33.9083997,-84.2660304,0.629881581,"chinese, korean, restaurants","restaurant, food",food
428,Niramish Indian Cuisine,"1138 Euclid Ave NE, Atlanta, GA 30307",33.764905,-84.350189,0.6893887944,"food delivery services, vegetarian, food, restaurants, indian","mealdelivery, restaurant, food",food
429,Taco Mac Metropolis,"933 Peachtree St NE, Atlanta, GA 30309",33.7806382,-84.3839739,0.559548882,"restaurants, bars, mexican, american traditional, nightlife, beer, wine  spirits, sports bars, food","restaurant, bar, food",food
430,Paolo's Gelato Italiano,"1025 Virginia Ave NE, Atlanta, GA 30306, United States",33.7822813,-84.3537531,0.7748403777,"ethnic food, specialty food, italian, coffee  tea, ice cream  frozen yogurt, desserts, restaurants, gelato, food","cafe, food",food
431,Cafe Maxim,"950 East Paces Ferry Rd NE # 140, Atlanta, GA 30326",33.8470484,-84.357204,0.5769317507,"cafes, food, restaurants","restaurant, cafe, food",food
432,Hovan Mediterranean Gourmet,"2148 Johnson Ferry Rd NE, Atlanta, GA 30319",33.8923747,-84.3255411,0.8224815217,"restaurants, greek, middle eastern, mediterranean","restaurant, food",food
433,Georgia Boy,"1043 Ponce De Leon Ave NE, Atlanta, GA 30306",33.773471,-84.3532352,0.7828007746,"southern, restaurants, american new","restaurant, food",food
434,GQ's Bar B Que,"2572 Gresham Rd S E, Atlanta, GA 30316",33.7129646,-84.3102025,0.6814107397,"barbeque, restaurants","restaurant, food",food
435,Parkview Cafe,"250 Williams St NW #400b, Atlanta, GA 30303",33.7613863,-84.391733,0.6061595124,"restaurants, cafes, american traditional, buffets","cafe, food",food
436,Southern Bistro,"4920 Roswell Rd Suite 55, Sandy Springs, GA 30342",33.8885263,-84.3827009,0.7474321507,"american traditional, restaurants, southern, breakfast  brunch","restaurant, food",food
437,Sub Zero Nitrogen Ice Cream,"5590 Roswell Rd H-130, Sandy Springs, GA 30342, United States",33.9075176,-84.3801991,0.6590059056,"ice cream  frozen yogurt, juice bars  smoothies, caterers, food, vegan, desserts, event planning  services, restaurants","restaurant, food",food
438,Staplehouse,"541 Edgewood Ave SE, Atlanta, GA 30312",33.7541334,-84.3698234,0.7875194641,"american new, grocery, food stands, food, beer, wine  spirits, specialty food, restaurants","bakery, restaurant, food",food
439,Best BBQ,"5000 Buford Hwy NE, Chamblee, GA 30341",33.8879743,-84.2885303,0.6324824803,"chinese, restaurants","restaurant, food",food
440,Falafel King,"1405 Oxford Rd NE, Atlanta, GA 30307",33.7884455,-84.3263604,0.782994815,"middle eastern, sushi bars, restaurants, mediterranean, falafel","restaurant, food",food
441,Corner Cafe,"3070 Piedmont Rd NE, Atlanta, GA 30305",33.8392036,-84.369483,0.757802895,"breakfast  brunch, bakeries, food, restaurants, american new","cafe, bakery, lodging, restaurant, food",food
442,The Municipal Market,"209 Edgewood Ave SE, Atlanta, GA 30303, United States",33.7540245,-84.3800811,0.774472351,"public markets, coffee  tea, farmers market, shopping, restaurants, specialty food, grocery, food, fruits  veggies","groceryorsupermarket, food",food
443,Good Harvest,"5150 Buford Hwy NE C-120, Doraville, GA 30340",33.8925606,-84.2850087,0.7314145157,"hot pot, chinese, restaurants","restaurant, food",food
444,Ray's In the City,"240 Peachtree St, Atlanta, GA 30303",33.7605673,-84.3877345,0.8186745754,"american traditional, venues  event spaces, music venues, nightlife, restaurants, event planning  services, steakhouses, arts  entertainment, sushi bars, seafood","bar, restaurant, food",food
445,The James Room,"661 Auburn Ave NE STE 280, Atlanta, GA 30312",33.7564342,-84.3653774,0.7126654418,"nightlife, restaurants, cafes, bars, breakfast  brunch, cocktail bars","cafe, bar, food",food
446,Yard House,"261 19th St NW #1100, Atlanta, GA 30363",33.79363,-84.397397,0.6627343131,"vegetarian, beer bar, american new, cocktail bars, restaurants, breweries, beer, wine  spirits, bars, food, seafood, asian fusion, nightlife, wine bars, american traditional, steakhouses","bar, mealtakeaway, restaurant, food",food
447,Buena Gente Cuban Bakery,"1365 Clairmont Rd, Decatur, GA 30033",33.7927205,-84.3050567,0.8483783527,"food trucks, cuban, sandwiches, coffee  tea, food, restaurants","bakery, mealtakeaway, restaurant, cafe, food",food
448,Poke Bar Decatur,"419 Church St, Decatur, GA 30030",33.7750261,-84.294717,0.7939894869,"food, restaurants, hawaiian, sushi bars, poke","restaurant, food",food
449,Dave's Cosmic Subs,"1540 N Decatur Rd, Atlanta, GA 30307",33.7878582,-84.3275896,0.7546059253,"sandwiches, restaurants, fast food, delis","restaurant, food",food
450,Parkway Cafe,"2200 Century Pkwy NE, Atlanta, GA 30345",33.8462124,-84.3066612,0.59051579,"american new, delis, restaurants, coffee  tea, food, sandwiches, cafes","cafe, restaurant, food",food
451,Sublime Doughnuts,"2566 Briarcliff Rd NE, Atlanta, GA 30329, United States",33.8284245,-84.3290116,0.7582528893,"restaurants, food, bakeries, ice cream  frozen yogurt, donuts, burgers","bakery, food",food
452,Three Dollar Cafe,"3537 Chamblee Tucker Rd, Atlanta, GA 30341",33.8844685,-84.2486544,0.5496733992,"food, american new, bars, sports bars, nightlife, chicken wings, cafes, restaurants, american traditional, beer, wine  spirits","bar, restaurant, food",food
453,Roasters,"6225 Roswell Rd, Sandy Springs, GA 30328",33.9252159,-84.378072,0.7643874587,"food, southern, barbeque, restaurants","restaurant, food",food
454,The Food Shoppe,"123 Luckie St NW UNIT 108, Atlanta, GA 30303",33.7583101,-84.3904342,0.8538748105,"restaurants, seafood, breakfast  brunch, cajuncreole","restaurant, food",food
455,Tuscany At Your Table,"1050 North Highland Avenue Northeast, Atlanta, GA 30306, United States",33.7832336,-84.3546324,0.8641029333,"restaurants, italian, food, delis, specialty food","liquorstore, groceryorsupermarket, cafe, food",food
456,Cafe Alsace,"121 E Ponce de Leon Ave, Decatur, GA 30030",33.7754109,-84.295498,0.7939324041,"restaurants, sandwiches, cafes, french","restaurant, food",food
